Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,1/30/20,6:00 PM,Kerala,1,0,0,0,1
2,1/31/20,6:00 PM,Kerala,1,0,0,0,1
3,2/1/2020,6:00 PM,Kerala,2,0,0,0,2
4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3
5,2/3/2020,6:00 PM,Kerala,3,0,0,0,3
6,2/4/2020,6:00 PM,Kerala,3,0,0,0,3
7,2/5/2020,6:00 PM,Kerala,3,0,0,0,3
8,2/6/2020,6:00 PM,Kerala,3,0,0,0,3
9,2/7/2020,6:00 PM,Kerala,3,0,0,0,3
10,2/8/2020,6:00 PM,Kerala,3,0,0,0,3
11,2/9/2020,6:00 PM,Kerala,3,0,0,0,3
12,2/10/2020,6:00 PM,Kerala,3,0,0,0,3
13,2/11/2020,6:00 PM,Kerala,3,0,0,0,3
14,2/12/2020,6:00 PM,Kerala,3,0,0,0,3
15,2/13/20,6:00 PM,Kerala,3,0,0,0,3
16,2/14/20,6:00 PM,Kerala,3,0,0,0,3
17,2/15/20,6:00 PM,Kerala,3,0,0,0,3
18,2/16/20,6:00 PM,Kerala,3,0,0,0,3
19,2/17/20,6:00 PM,Kerala,3,0,0,0,3
20,2/18/20,6:00 PM,Kerala,3,0,0,0,3
21,2/19/20,6:00 PM,Kerala,3,0,0,0,3
22,2/20/20,6:00 PM,Kerala,3,0,0,0,3
23,2/21/20,6:00 PM,Kerala,3,0,0,0,3
24,2/22/20,6:00 PM,Kerala,3,0,0,0,3
25,2/23/20,6:00 PM,Kerala,3,0,0,0,3
26,2/24/20,6:00 PM,Kerala,3,0,0,0,3
27,2/25/20,6:00 PM,Kerala,3,0,0,0,3
28,2/26/20,6:00 PM,Kerala,3,0,0,0,3
29,2/27/20,6:00 PM,Kerala,3,0,0,0,3
30,2/28/20,6:00 PM,Kerala,3,0,0,0,3
31,2/29/20,6:00 PM,Kerala,3,0,0,0,3
32,3/1/2020,6:00 PM,Kerala,3,0,0,0,3
33,3/2/2020,6:00 PM,Telengana,1,0,0,0,1
34,3/2/2020,6:00 PM,Kerala,3,0,0,0,3
35,3/2/2020,6:00 PM,Delhi,1,0,0,0,1
36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1
37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1
38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3
39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1
40,3/4/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
41,3/4/2020,6:00 PM,Kerala,3,0,3,0,3
42,3/4/2020,6:00 PM,Haryana,0,2,0,0,2
43,3/4/2020,6:00 PM,Delhi,1,0,0,0,1
44,3/4/2020,6:00 PM,Telengana,1,0,0,0,1
45,3/4/2020,6:00 PM,Rajasthan,1,14,0,0,15
46,3/5/2020,6:00 PM,Delhi,2,0,0,0,2
47,3/5/2020,6:00 PM,Haryana,0,2,0,0,2
48,3/5/2020,6:00 PM,Kerala,3,0,3,0,3
49,3/5/2020,6:00 PM,Rajasthan,1,14,0,0,15
50,3/5/2020,6:00 PM,Telengana,1,0,0,0,1
